ID	logFC	logCPM	F	PValue	FDR
uc007aye.2|Gls	0.322917029077581	6.27951683687437	8.05103809734048	0.00944122134317343	0.0146161042368294
uc012fsk.1|Rras2	0.367764362560068	5.88830677360104	8.05101078984403	0.00944132562742705	0.0146161042368294
uc009afd.2|Lamtor4	-0.411995188692328	5.42183747895109	8.05030160343221	0.00944403437621456	0.0146166657213749
uc008pgy.1|Tm4sf1	1.63111522249325	3.10002252240435	8.39886717703735	0.00944420778360317	0.0146166657213749
uc008uzf.1|Snrnp40	0.308831236300037	4.14573619449277	8.0498594320093	0.00944572369155767	0.0146170621489922
uc007kws.1|Hlf	-0.720550167332634	6.032240449817	8.25930764499894	0.00944883272061499	0.0146199234641013
uc008foo.1|AK085760	1.36349064661227	0.586368245584219	8.04184348505036	0.00947640656619602	0.014660632718343
uc007qyx.1|Cdk20	0.574500827877197	2.37736918730079	8.04084614960235	0.00948023179281535	0.0146645953195623
uc007ecp.2|Ints7	-0.278277599502139	5.80588023882578	8.03840498908787	0.0094896019333844	0.0146771329289602
uc008hxr.1|Zdhhc6	-0.545171347476792	3.29477833033921	8.03313220380676	0.00950987591120553	0.0147065294145965
uc007jge.2|Llgl1	0.320185271702755	4.59425914667095	8.02791504071231	0.00952998313338472	0.0147356602207706
uc007bmv.1|Stk36	0.989918169141048	1.11397998735942	8.02633446239629	0.00953608403345279	0.0147431289860297
uc008hci.2|Glis3	-1.24736072441773	1.6825781252988	8.0256988491167	0.00953853866406863	0.014744959248493
uc007sva.1|Dcp1a	-0.291081278239177	5.29935086397961	8.02039528591509	0.00955904736175767	0.0147746938242273
uc009aoh.1|Flt1	1.2664931491275	4.10255500435181	8.37860452127325	0.0095784049551698	0.0148026415416669
uc009knk.2|Tnnt3	4.64371793827576	1.12620137560646	8.98203219286266	0.00960005009062146	0.0148341165536664
uc007rbp.1|4930525G20Rik	-0.915243455476074	1.62893264004874	8.00699342293483	0.00961108936532406	0.0148491970580366
uc009mpv.2|4921524J17Rik	-0.441753833410491	3.5145828786857	8.00178593710777	0.00963139542453511	0.0148785888844203
uc008kck.2|Cir1	0.675799737090665	1.91430461224334	7.99899785003943	0.0096422867672838	0.0148934309585721
uc012bsf.1|AK082064	0.77839322696547	2.40245633849609	7.98520612566206	0.00969636311284077	0.0149749635562746
uc007llx.1|Dhx58	-0.482019293250797	3.48314547231319	7.98409534618029	0.00970073295897783	0.0149797184619403
uc007zce.2|Ccdc58	-0.466345250911247	3.66949135791782	7.98236678543819	0.0097075375076555	0.0149882312310481
uc007flz.2|Ado	-0.283796684159212	6.37094215546552	7.97854290190844	0.00972260912636699	0.015007752858248
uc007qrv.1|Caml	0.410569380661003	3.59085903170222	7.97850260359099	0.00972276809751358	0.015007752858248
uc009qpa.1|Myzap	1.29100748398306	0.235228281138668	7.97601549809005	0.00973258493737568	0.0150209075589745
uc009nxg.1|2310022B05Rik	0.276202899431501	4.73337663490481	7.96801641324087	0.00976423242028902	0.0150677468775919
uc009aol.1|Slc46a3	-0.533660005367438	3.97634381499026	7.96060375695206	0.00979366131355692	0.0151111505613299
uc009vfc.1|X57780	0.969146252790945	8.62740203815185	8.31999404149337	0.00981624070862862	0.0151439756604465
uc007kwp.1|Mmd	0.240718565382447	9.29254970174542	7.94791772111347	0.0098442536810313	0.0151851735523805
uc008jhe.2|Rpl12	-0.645175628953646	3.68563136189374	7.94571162782008	0.00985308110741982	0.0151967699175053
uc008zuj.2|Sbds	0.344973901464138	6.00121970761628	7.93779422030259	0.00988483380699742	0.0152437169939648
uc008tzo.3|Hspb11	-0.787583504690016	2.2406512283492	7.93483240021265	0.00989674121556619	0.0152600516045468
uc009ahg.1|Psmg3	0.487916951228268	3.50064453254752	7.93408221222143	0.00989975971278149	0.0152626776438219
uc009ers.1|Rassf8	0.411208780768631	5.12825067213438	7.92885816455079	0.00992080771061159	0.0152930957707222
uc057bdu.1|EU233994	1.16525209437134	0.882414856375801	7.9277199349781	0.00992540026434455	0.0152981428357053
uc007uat.1|Adcy4	0.906626121735551	2.1533233921876	7.92647272566289	0.0099304352301012	0.0153038703645722
uc008gmj.2|Snhg1	0.756729952522808	2.77157174782998	7.9224105169493	0.00994685388809349	0.0153271375383199
uc008opo.3|Impa1	0.306787057622817	6.65951516296708	7.91681665104276	0.00996951233339144	0.0153600121636358
uc012gjw.1|Has3	1.0283832166865	0.964226455867983	7.8963762578377	0.0100527943489524	0.0154862682993753
uc008kxu.2|1700029I15Rik	-1.07204533149669	0.843086942957862	7.8938593541301	0.0100631022459411	0.0155000896534786
uc009pem.1|Tmem25	-1.14720512026166	2.50102776446697	7.89315604094137	0.0100659847302256	0.0155009969751366
uc008hai.1|Apba1	1.08683219752912	0.923190468267368	7.89306371259542	0.0100663631998323	0.0155009969751366
uc008ajj.1|AK014435	-1.10042836961541	1.97031739198278	7.89029686862128	0.010077712266087	0.0155154258154217
uc009jgc.1|Galnt18	-0.51438166563832	3.83744838156286	7.89012744103278	0.0100784076851532	0.0155154258154217
uc008fct.2|Ablim3	0.899954046028539	3.52277361428576	8.02949387073977	0.0100889375668871	0.0155295758276188
uc008ynt.1|Dr1	0.319812966806504	6.7380254229939	7.88566465193208	0.0100967444099253	0.0155395311564349
uc009ous.2|Robo4	1.03528085996619	3.11697892191365	8.03552376841127	0.0101121919093046	0.0155612417405386
