ID	logFC	FDR	Direction
uc007ius.2|Cdkn2aipnl	0.5	0.25	up
uc007kpf.1|Taf15	0.5	0.05	up
uc007kpf.1|Taf15	0.5	0.25	up
uc007kpf.1|Taf15	1	0.05	up
uc007kpf.1|Taf15	1	0.25	up
uc009sqq.2|Bcor	0.5	0.05	up
uc009sqq.2|Bcor	0.5	0.25	up
uc007eun.1|Rwdd1	0.5	0.25	down
uc007eun.1|Rwdd1	0.5	0.05	down
uc009ttl.2|Apoo	0.5	0.05	down
uc009ttl.2|Apoo	0.5	0.25	down
uc009ttl.2|Apoo	1	0.25	down
uc009ttl.2|Apoo	1	0.05	down
uc009oem.2|Endod1	0.5	0.25	up
uc009oem.2|Endod1	0.5	0.05	up
uc009oem.2|Endod1	1	0.25	up
uc009oem.2|Endod1	1	0.05	up
uc008cpw.1|Clic5	0.5	0.05	down
uc008cpw.1|Clic5	0.5	0.25	down
uc008cpw.1|Clic5	1	0.25	down
uc008cpw.1|Clic5	1	0.05	down
uc007zgu.1|Atp6v1a	1	0.25	down
uc007zgu.1|Atp6v1a	1	0.05	down
uc007zgu.1|Atp6v1a	0.5	0.05	down
uc007zgu.1|Atp6v1a	0.5	0.25	down
uc012axs.1|Arhgef33	0.5	0.25	down
uc012axs.1|Arhgef33	0.5	0.05	down
uc009alg.1|Lmtk2	0.5	0.05	down
uc009alg.1|Lmtk2	0.5	0.25	down
uc007fls.2|Jmjd1c	0.5	0.05	up
uc007fls.2|Jmjd1c	0.5	0.25	up
uc009kwj.2|Atp11a	0.5	0.05	up
uc009kwj.2|Atp11a	0.5	0.25	up
uc009kwj.2|Atp11a	1	0.25	up
uc009kwj.2|Atp11a	1	0.05	up
uc008eby.1|Riok3	0.5	0.05	down
uc008eby.1|Riok3	0.5	0.25	down
uc008eby.1|Riok3	1	0.25	down
uc008eby.1|Riok3	1	0.05	down
uc007ltp.2|Hexim2	0.5	0.25	down
uc007ltp.2|Hexim2	0.5	0.05	down
uc007zpu.2|Arl13b	1	0.05	up
uc007zpu.2|Arl13b	1	0.25	up
uc007zpu.2|Arl13b	0.5	0.05	up
uc007zpu.2|Arl13b	0.5	0.25	up
uc009jse.2|Sgf29	0.5	0.05	down
uc009jse.2|Sgf29	0.5	0.25	down
uc009bef.2|Smo	1	0.05	up
uc009bef.2|Smo	1	0.25	up
uc009bef.2|Smo	0.5	0.25	up
uc009bef.2|Smo	0.5	0.05	up
uc008ayn.1|Igfals	0.5	0.25	up
uc008ayn.1|Igfals	0.5	0.05	up
uc008ros.2|Gbp7	0.5	0.05	up
uc008ros.2|Gbp7	0.5	0.25	up
uc008ros.2|Gbp7	1	0.25	up
uc008ros.2|Gbp7	1	0.05	up
uc008tee.2|Slc31a2	0.5	0.05	up
uc008tee.2|Slc31a2	0.5	0.25	up
uc009pvx.2|Ubl7	0.5	0.25	down
uc009pvx.2|Ubl7	0.5	0.05	down
